1626709074466
00000000:0A:00.0, 0, 0
1626709076051
00000000:0A:00.0, 0, 0
1626709077635
00000000:0A:00.0, 0, 0
1626709079220
00000000:0A:00.0, 0, 0
1626709080805
00000000:0A:00.0, 0, 0
1626709082389
00000000:0A:00.0, 0, 0
1626709083974
00000000:0A:00.0, 0, 0
1626709085580
00000000:0A:00.0, 0, 0
1626709086593
00000000:0A:00.0, 0, 0
1626709087607
00000000:0A:00.0, 30, 3
1626709088623
00000000:0A:00.0, 45, 9
1626709089634
00000000:0A:00.0, 59, 17
1626709090647
00000000:0A:00.0, 7, 2
1626709091658
00000000:0A:00.0, 51, 15
1626709092668
00000000:0A:00.0, 0, 0
1626709093684
00000000:0A:00.0, 27, 7
1626709094701
00000000:0A:00.0, 68, 20
1626709095713
00000000:0A:00.0, 65, 19
1626709096724
00000000:0A:00.0, 0, 0
1626709097735
00000000:0A:00.0, 0, 0
1626709098746
00000000:0A:00.0, 0, 0
1626709099756
00000000:0A:00.0, 0, 0
1626709100767
00000000:0A:00.0, 0, 0
1626709101777
00000000:0A:00.0, 0, 0
1626709102788
00000000:0A:00.0, 0, 0
1626709103808
00000000:0A:00.0, 20, 5
1626709104820
00000000:0A:00.0, 70, 20
1626709105831
00000000:0A:00.0, 74, 21
1626709106842
00000000:0A:00.0, 0, 0
1626709107852
00000000:0A:00.0, 0, 0
1626709108862
00000000:0A:00.0, 0, 0
1626709109873
00000000:0A:00.0, 0, 0
1626709110884
00000000:0A:00.0, 0, 0
1626709111895
00000000:0A:00.0, 0, 0
1626709112905
00000000:0A:00.0, 0, 0
1626709113917
00000000:0A:00.0, 10, 2
1626709114927
00000000:0A:00.0, 68, 19
1626709115938
00000000:0A:00.0, 83, 23
1626709116948
00000000:0A:00.0, 0, 0
1626709117959
00000000:0A:00.0, 0, 0
1626709118970
00000000:0A:00.0, 0, 0
1626709119981
00000000:0A:00.0, 0, 0
1626709120992
00000000:0A:00.0, 0, 0
1626709122002
00000000:0A:00.0, 0, 0
1626709123013
00000000:0A:00.0, 0, 0
1626709124030
00000000:0A:00.0, 1, 0
1626709125046
00000000:0A:00.0, 74, 21
1626709126057
00000000:0A:00.0, 86, 25
1626709127068
00000000:0A:00.0, 5, 1
1626709128079
00000000:0A:00.0, 0, 0
1626709129090
00000000:0A:00.0, 0, 0
1626709130100
00000000:0A:00.0, 0, 0
1626709131111
00000000:0A:00.0, 0, 0
1626709132122
00000000:0A:00.0, 0, 0
1626709133133
00000000:0A:00.0, 0, 0
1626709134144
00000000:0A:00.0, 3, 1
1626709135165
00000000:0A:00.0, 69, 18
1626709136176
00000000:0A:00.0, 86, 25
1626709137186
00000000:0A:00.0, 0, 0
1626709138197
00000000:0A:00.0, 0, 0
1626709139207
00000000:0A:00.0, 0, 0
1626709140218
00000000:0A:00.0, 0, 0
1626709141228
00000000:0A:00.0, 0, 0
1626709142239
00000000:0A:00.0, 0, 0
1626709143250
00000000:0A:00.0, 0, 0
1626709144269
00000000:0A:00.0, 0, 0
1626709145280
00000000:0A:00.0, 82, 23
1626709146290
00000000:0A:00.0, 74, 21
1626709147301
00000000:0A:00.0, 0, 0
1626709148311
00000000:0A:00.0, 0, 0
1626709149321
00000000:0A:00.0, 0, 0
1626709150331
00000000:0A:00.0, 0, 0
1626709151341
00000000:0A:00.0, 0, 0
1626709152351
00000000:0A:00.0, 0, 0
1626709153363
00000000:0A:00.0, 0, 0
1626709154380
00000000:0A:00.0, 7, 2
1626709155391
00000000:0A:00.0, 77, 21
1626709156402
00000000:0A:00.0, 79, 23
1626709157413
00000000:0A:00.0, 0, 0
1626709158423
00000000:0A:00.0, 0, 0
1626709159434
00000000:0A:00.0, 0, 0
1626709160444
00000000:0A:00.0, 0, 0
1626709161454
00000000:0A:00.0, 0, 0
1626709162466
00000000:0A:00.0, 0, 0
1626709163476
00000000:0A:00.0, 0, 0
1626709164488
00000000:0A:00.0, 8, 2
1626709165499
00000000:0A:00.0, 80, 23
1626709166509
00000000:0A:00.0, 0, 0
1626709167519
00000000:0A:00.0, 0, 0
1626709168530
00000000:0A:00.0, 0, 0
1626709169541
00000000:0A:00.0, 0, 0
1626709170551
00000000:0A:00.0, 0, 0
1626709171562
00000000:0A:00.0, 0, 0
1626709172573
00000000:0A:00.0, 0, 0
1626709173586
