1626185251420
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626185252912
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626185254418
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626185255920
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626185257456
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626185258938
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626185260236
00000000:02:00.0, 97, 35
00000000:03:00.0, 0, 0
1626185261535
00000000:02:00.0, 70, 10
00000000:03:00.0, 0, 0
1626185262855
00000000:02:00.0, 34, 6
00000000:03:00.0, 0, 0
1626185264154
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185265459
00000000:02:00.0, 95, 31
00000000:03:00.0, 0, 0
1626185266767
00000000:02:00.0, 55, 10
00000000:03:00.0, 0, 0
1626185268078
00000000:02:00.0, 15, 3
00000000:03:00.0, 0, 0
1626185269380
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185270679
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185271976
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185273273
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185274579
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185275884
00000000:02:00.0, 41, 14
00000000:03:00.0, 0, 0
1626185277193
00000000:02:00.0, 84, 30
00000000:03:00.0, 0, 0
1626185278499
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185279797
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185281095
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185282392
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185283692
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185285000
00000000:02:00.0, 82, 24
00000000:03:00.0, 0, 0
1626185286299
00000000:02:00.0, 100, 26
00000000:03:00.0, 0, 0
1626185287598
00000000:02:00.0, 91, 21
00000000:03:00.0, 0, 0
1626185288897
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185290194
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185291492
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185292790
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185294086
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185295405
00000000:02:00.0, 42, 12
00000000:03:00.0, 0, 0
1626185296705
00000000:02:00.0, 76, 29
00000000:03:00.0, 0, 0
1626185298010
00000000:02:00.0, 65, 19
00000000:03:00.0, 0, 0
1626185299308
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185300605
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185301904
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185303201
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185304509
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185305820
00000000:02:00.0, 78, 27
00000000:03:00.0, 0, 0
1626185307127
00000000:02:00.0, 74, 25
00000000:03:00.0, 0, 0
1626185308427
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185309725
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185311022
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185312319
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185313616
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185314923
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185316224
00000000:02:00.0, 97, 23
00000000:03:00.0, 0, 0
1626185317528
00000000:02:00.0, 58, 15
00000000:03:00.0, 0, 0
1626185318825
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185320122
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185321419
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185322718
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185324015
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185325334
00000000:02:00.0, 32, 7
00000000:03:00.0, 0, 0
1626185326635
00000000:02:00.0, 92, 19
00000000:03:00.0, 0, 0
1626185327934
00000000:02:00.0, 81, 29
00000000:03:00.0, 0, 0
1626185329234
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185330532
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185331829
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185333126
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185334426
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626185335736
00000000:02:00.0, 87, 27
