1626190215311
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190216807
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190218319
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190219818
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190221312
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190222832
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190224435
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626190225459
00000000:02:00.0, 11, 2
00000000:03:00.0, 12, 2
1626190226478
00000000:02:00.0, 100, 30
00000000:03:00.0, 100, 29
1626190227497
00000000:02:00.0, 100, 15
00000000:03:00.0, 100, 15
1626190228517
00000000:02:00.0, 0, 0
00000000:03:00.0, 100, 34
1626190229536
00000000:02:00.0, 0, 0
00000000:03:00.0, 99, 20
1626190230555
00000000:02:00.0, 38, 9
00000000:03:00.0, 0, 0
1626190231574
00000000:02:00.0, 100, 34
00000000:03:00.0, 100, 35
1626190232594
00000000:02:00.0, 100, 18
00000000:03:00.0, 100, 22
1626190233612
00000000:02:00.0, 98, 21
00000000:03:00.0, 99, 33
1626190234631
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190235649
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190236667
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190237684
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190238703
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190239721
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190240740
00000000:02:00.0, 97, 34
00000000:03:00.0, 100, 27
1626190241759
00000000:02:00.0, 100, 36
00000000:03:00.0, 100, 26
1626190242778
00000000:02:00.0, 100, 22
00000000:03:00.0, 100, 35
1626190243796
00000000:02:00.0, 0, 0
00000000:03:00.0, 99, 22
1626190244815
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190245833
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190246851
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190247869
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190248887
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190249904
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190250924
00000000:02:00.0, 15, 5
00000000:03:00.0, 100, 31
1626190251942
00000000:02:00.0, 100, 22
00000000:03:00.0, 99, 28
1626190252961
00000000:02:00.0, 100, 16
00000000:03:00.0, 99, 31
1626190253980
00000000:02:00.0, 98, 24
00000000:03:00.0, 0, 0
1626190254999
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190256016
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190257034
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190258053
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190259071
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190260090
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190261108
00000000:02:00.0, 93, 21
00000000:03:00.0, 99, 31
1626190262128
00000000:02:00.0, 100, 22
00000000:03:00.0, 100, 19
1626190263147
00000000:02:00.0, 100, 19
00000000:03:00.0, 100, 17
1626190264166
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190265183
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190266201
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190267220
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190268237
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190269255
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190270274
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190271292
00000000:02:00.0, 99, 30
00000000:03:00.0, 99, 26
1626190272311
00000000:02:00.0, 100, 23
00000000:03:00.0, 100, 23
1626190273330
00000000:02:00.0, 100, 28
00000000:03:00.0, 98, 29
1626190274348
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190275366
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190276384
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190277401
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190278419
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190279438
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626190280456
00000000:02:00.0, 99, 24
00000000:03:00.0, 3, 1
1626190281476
00000000:02:00.0, 100, 15
00000000:03:00.0, 100, 33
1626190282495
00000000:02:00.0, 100, 19
00000000:03:00.0, 100, 20
1626190283513
00000000:02:00.0, 98, 26
