1626101917255
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101918749
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101920243
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101921745
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101923244
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101924766
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101925954
00000000:02:00.0, 1, 0
00000000:03:00.0, 0, 0
1626101927253
00000000:02:00.0, 66, 23
00000000:03:00.0, 0, 0
1626101928552
00000000:02:00.0, 84, 13
00000000:03:00.0, 0, 0
1626101929868
00000000:02:00.0, 63, 21
00000000:03:00.0, 0, 0
1626101931190
00000000:02:00.0, 65, 13
00000000:03:00.0, 0, 0
1626101932490
00000000:02:00.0, 100, 32
00000000:03:00.0, 0, 0
1626101933797
00000000:02:00.0, 74, 23
00000000:03:00.0, 0, 0
1626101935111
00000000:02:00.0, 58, 21
00000000:03:00.0, 0, 0
1626101936414
00000000:02:00.0, 91, 29
00000000:03:00.0, 0, 0
1626101937719
00000000:02:00.0, 37, 8
00000000:03:00.0, 0, 0
1626101939021
00000000:02:00.0, 100, 29
00000000:03:00.0, 0, 0
1626101940323
00000000:02:00.0, 77, 24
00000000:03:00.0, 0, 0
1626101941621
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101942923
00000000:02:00.0, 94, 20
00000000:03:00.0, 0, 0
1626101944232
00000000:02:00.0, 51, 14
00000000:03:00.0, 0, 0
1626101945533
00000000:02:00.0, 91, 24
00000000:03:00.0, 0, 0
1626101946837
00000000:02:00.0, 87, 20
00000000:03:00.0, 0, 0
1626101948148
00000000:02:00.0, 66, 19
00000000:03:00.0, 0, 0
1626101949445
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101950742
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101952048
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101953348
00000000:02:00.0, 100, 25
00000000:03:00.0, 0, 0
1626101954659
00000000:02:00.0, 81, 26
00000000:03:00.0, 0, 0
1626101955971
00000000:02:00.0, 48, 15
00000000:03:00.0, 0, 0
1626101957268
00000000:02:00.0, 100, 21
00000000:03:00.0, 0, 0
1626101958567
00000000:02:00.0, 100, 18
00000000:03:00.0, 0, 0
1626101959867
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101961166
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101962473
00000000:02:00.0, 43, 14
00000000:03:00.0, 0, 0
1626101963773
00000000:02:00.0, 100, 16
00000000:03:00.0, 0, 0
1626101965079
00000000:02:00.0, 100, 19
00000000:03:00.0, 0, 0
1626101966385
00000000:02:00.0, 89, 24
00000000:03:00.0, 0, 0
1626101967689
00000000:02:00.0, 67, 22
00000000:03:00.0, 0, 0
1626101968988
00000000:02:00.0, 55, 13
00000000:03:00.0, 0, 0
1626101970288
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101971586
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101972890
00000000:02:00.0, 88, 26
00000000:03:00.0, 0, 0
1626101974198
00000000:02:00.0, 67, 20
00000000:03:00.0, 0, 0
1626101975502
00000000:02:00.0, 67, 17
00000000:03:00.0, 0, 0
1626101976800
00000000:02:00.0, 96, 23
00000000:03:00.0, 0, 0
1626101978105
00000000:02:00.0, 100, 21
00000000:03:00.0, 0, 0
1626101979406
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101980701
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101982005
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101983305
00000000:02:00.0, 85, 28
00000000:03:00.0, 0, 0
1626101984614
00000000:02:00.0, 99, 34
00000000:03:00.0, 0, 0
1626101985934
00000000:02:00.0, 71, 18
00000000:03:00.0, 0, 0
1626101987233
00000000:02:00.0, 74, 26
00000000:03:00.0, 0, 0
1626101988538
00000000:02:00.0, 85, 23
00000000:03:00.0, 0, 0
1626101989838
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101991137
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626101992447
00000000:02:00.0, 86, 26
00000000:03:00.0, 0, 0
1626101993758
00000000:02:00.0, 85, 30
00000000:03:00.0, 0, 0
1626101995058
00000000:02:00.0, 78, 19
00000000:03:00.0, 0, 0
1626101996366
00000000:02:00.0, 56, 10
00000000:03:00.0, 0, 0
1626101997665
00000000:02:00.0, 69, 15
00000000:03:00.0, 0, 0
1626101998964
00000000:02:00.0, 87, 29
00000000:03:00.0, 0, 0
1626102000263
00000000:02:00.0, 0, 0
00000000:03:00.0, 0, 0
1626102001560
00000000:02:00.0, 0, 0
