time;queuedNum
"1626101921643";"0"
"1626101922646";"10"
"1626101923640";"9"
"1626101924640";"7"
"1626101925640";"7"
"1626101926640";"7"
"1626101927641";"7"
"1626101928640";"7"
"1626101929639";"4"
"1626101930640";"4"
"1626101931640";"1"
"1626101932640";"11"
"1626101933640";"8"
"1626101934640";"8"
"1626101935639";"5"
"1626101936641";"5"
"1626101937640";"3"
"1626101938639";"1"
"1626101939640";"0"
"1626101940641";"0"
"1626101941639";"0"
"1626101942640";"7"
"1626101943640";"5"
"1626101944640";"4"
"1626101945640";"3"
"1626101946640";"1"
"1626101947639";"0"
"1626101948640";"0"
"1626101949640";"0"
"1626101950640";"0"
"1626101951640";"0"
"1626101952640";"7"
"1626101953639";"5"
"1626101954640";"4"
"1626101955640";"2"
"1626101956640";"1"
"1626101957640";"0"
"1626101958640";"0"
"1626101959640";"0"
"1626101960640";"0"
"1626101961640";"0"
"1626101962641";"7"
"1626101963640";"6"
"1626101964639";"4"
"1626101965641";"3"
"1626101966641";"1"
"1626101967640";"0"
"1626101968640";"0"
"1626101969640";"0"
"1626101970640";"0"
"1626101971640";"0"
"1626101972640";"7"
"1626101973640";"6"
"1626101974640";"5"
"1626101975640";"3"
"1626101976640";"2"
"1626101977640";"0"
"1626101978640";"0"
"1626101979640";"0"
"1626101980640";"0"
"1626101981640";"0"
"1626101982640";"7"
"1626101983640";"7"
"1626101984640";"4"
"1626101985640";"4"
"1626101986641";"1"
"1626101987640";"1"
"1626101988640";"0"
"1626101989640";"0"
"1626101990640";"0"
"1626101991640";"0"
"1626101992640";"7"
"1626101993640";"6"
"1626101994640";"4"
"1626101995640";"4"
"1626101996640";"1"
"1626101997640";"1"
"1626101998640";"0"
"1626101999640";"0"
"1626102000640";"0"
"1626102001640";"0"
"1626102002640";"7"
"1626102003640";"6"
"1626102004641";"5"
"1626102005639";"3"
"1626102006640";"1"
"1626102007640";"0"
"1626102008640";"0"
"1626102009640";"0"
"1626102010641";"0"
"1626102011640";"0"
"1626102012640";"7"
"1626102013640";"5"
"1626102014640";"4"
"1626102015640";"2"
"1626102016640";"1"
"1626102017640";"0"
"1626102018640";"0"
"1626102019640";"0"
"1626102020640";"0"
"1626102021639";"0"
"1626102022640";"7"
"1626102023640";"6"
"1626102024640";"4"
"1626102025641";"3"
"1626102026640";"1"
"1626102027639";"0"
"1626102028640";"0"
"1626102029640";"0"
"1626102030640";"0"
"1626102031640";"0"
"1626102032641";"7"
"1626102033640";"7"
"1626102034640";"4"
"1626102035640";"3"
"1626102036639";"1"
"1626102037641";"0"
"1626102038641";"0"
"1626102039639";"0"
"1626102040640";"0"
"1626102041640";"0"
"1626102042640";"7"
"1626102043640";"6"
"1626102044640";"5"
"1626102045640";"3"
"1626102046641";"2"
"1626102047640";"0"
"1626102048639";"0"
"1626102049640";"0"
"1626102050640";"0"
"1626102051640";"0"
"1626102052640";"7"
"1626102053640";"6"
"1626102054640";"4"
"1626102055640";"3"
"1626102056641";"1"
"1626102057641";"0"
"1626102058640";"0"
"1626102059641";"0"
"1626102060641";"0"
"1626102061640";"0"
"1626102062640";"7"
"1626102063640";"6"
"1626102064640";"4"
"1626102065640";"3"
"1626102066640";"1"
"1626102067640";"0"
"1626102068640";"0"
"1626102069640";"0"
