time;queued
"1615246825450";"0"
"1615246826452";"1"
"1615246827449";"2"
"1615246828449";"3"
"1615246829449";"4"
"1615246830449";"5"
"1615246831449";"6"
"1615246832449";"7"
"1615246833449";"8"
"1615246834449";"9"
"1615246835448";"10"
"1615246836449";"11"
"1615246837449";"12"
"1615246838449";"12"
"1615246839449";"12"
"1615246840448";"13"
"1615246841449";"14"
"1615246842449";"13"
"1615246843449";"14"
"1615246844448";"13"
"1615246845449";"14"
"1615246846449";"15"
"1615246847449";"18"
"1615246848449";"19"
"1615246849449";"22"
"1615246850448";"23"
"1615246851449";"26"
"1615246852449";"27"
"1615246853449";"30"
"1615246854449";"29"
"1615246855448";"32"
"1615246856449";"28"
"1615246857449";"28"
"1615246858448";"24"
"1615246859449";"24"
"1615246860449";"20"
"1615246861449";"20"
"1615246862448";"16"
"1615246863449";"16"
"1615246864449";"12"
"1615246865449";"12"
"1615246866448";"8"
"1615246867449";"8"
"1615246868449";"4"
"1615246869448";"2"
"1615246870449";"0"
"1615246871449";"0"
"1615246872449";"0"
"1615246873448";"0"
"1615246874449";"0"
"1615246875449";"0"
"1615246876449";"0"
"1615246877448";"0"
"1615246878449";"0"
"1615246879449";"0"
"1615246880448";"0"
"1615246881449";"0"
"1615246882449";"0"
"1615246883449";"0"
"1615246884449";"0"
"1615246885449";"0"
"1615246886449";"0"
"1615246887448";"0"
"1615246888449";"0"
"1615246889448";"0"
"1615246890449";"0"
"1615246891449";"0"
"1615246892448";"0"
"1615246893449";"0"
"1615246894448";"0"
"1615246895449";"0"
"1615246896449";"0"
"1615246897448";"0"
"1615246898449";"0"
"1615246899449";"0"
"1615246900448";"0"
"1615246901449";"0"
"1615246902448";"0"
"1615246903449";"0"
"1615246904449";"0"
"1615246905448";"0"
"1615246906449";"0"
"1615246907448";"0"
"1615246908449";"0"
