runtime;staticParam;volatileParam;callbackUrl;start;end;start_computation;end_computation;result
"helloWorld";"wl-1";"payload";"localhost:3358/NAaX7TkE6q";"1615246825461";"1615246841728";"1615246838635";"1615246841391";"{"request": {"params": {"callbackUrl": "localhost:3358/NAaX7TkE6q", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/P6xiJ2IMI9";"1615246826452";"1615246841731";"1615246838655";"1615246841391";"{"request": {"params": {"callbackUrl": "localhost:3358/P6xiJ2IMI9", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/B5rAGhpXhE";"1615246827453";"1615246843763";"1615246841754";"1615246843756";"{"request": {"params": {"callbackUrl": "localhost:3358/B5rAGhpXhE", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/2rlzQR28dU";"1615246828453";"1615246843767";"1615246841758";"1615246843760";"{"request": {"params": {"callbackUrl": "localhost:3358/2rlzQR28dU", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/z2cuO49Dvz";"1615246829453";"1615246845786";"1615246843777";"1615246845780";"{"request": {"params": {"callbackUrl": "localhost:3358/z2cuO49Dvz", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/i3ZoZOkbfX";"1615246830453";"1615246845792";"1615246843785";"1615246845786";"{"request": {"params": {"callbackUrl": "localhost:3358/i3ZoZOkbfX", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/oOVTRoqwSB";"1615246831454";"1615246847810";"1615246845801";"1615246847804";"{"request": {"params": {"callbackUrl": "localhost:3358/oOVTRoqwSB", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/aniTnjJ3XB";"1615246832454";"1615246847815";"1615246845809";"1615246847810";"{"request": {"params": {"callbackUrl": "localhost:3358/aniTnjJ3XB", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/Zw5J7SEotV";"1615246833454";"1615246849832";"1615246847824";"1615246849826";"{"request": {"params": {"callbackUrl": "localhost:3358/Zw5J7SEotV", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/PwNQRaBC9Q";"1615246834454";"1615246849838";"1615246847830";"1615246849832";"{"request": {"params": {"callbackUrl": "localhost:3358/PwNQRaBC9Q", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/HbmqswnIEy";"1615246835455";"1615246851856";"1615246849847";"1615246851850";"{"request": {"params": {"callbackUrl": "localhost:3358/HbmqswnIEy", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/Z5eITJjEBA";"1615246836455";"1615246851868";"1615246849861";"1615246851863";"{"request": {"params": {"callbackUrl": "localhost:3358/Z5eITJjEBA", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/6mhE5sLMFn";"1615246837455";"1615246853881";"1615246851874";"1615246853877";"{"request": {"params": {"callbackUrl": "localhost:3358/6mhE5sLMFn", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/oMnhBQ8MPp";"1615246838456";"1615246853886";"1615246851878";"1615246853880";"{"request": {"params": {"callbackUrl": "localhost:3358/oMnhBQ8MPp", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/ZCCTB59ogr";"1615246839456";"1615246856265";"1615246853676";"1615246856260";"{"request": {"params": {"callbackUrl": "localhost:3358/ZCCTB59ogr", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/N2ncZmhmH5";"1615246840455";"1615246856258";"1615246853693";"1615246856253";"{"request": {"params": {"callbackUrl": "localhost:3358/N2ncZmhmH5", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/fNwpLa9ZBK";"1615246841455";"1615246855901";"1615246853895";"1615246855896";"{"request": {"params": {"callbackUrl": "localhost:3358/fNwpLa9ZBK", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/6M69ve4KvP";"1615246842456";"1615246855910";"1615246853905";"1615246855906";"{"request": {"params": {"callbackUrl": "localhost:3358/6M69ve4KvP", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/lvfNtvFtQE";"1615246843456";"1615246857934";"1615246855927";"1615246857930";"{"request": {"params": {"callbackUrl": "localhost:3358/lvfNtvFtQE", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/iitnBtIgFB";"1615246844456";"1615246857941";"1615246855934";"1615246857936";"{"request": {"params": {"callbackUrl": "localhost:3358/iitnBtIgFB", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/Z65Hg5LcZN";"1615246845457";"1615246858285";"1615246856279";"1615246858282";"{"request": {"params": {"callbackUrl": "localhost:3358/Z65Hg5LcZN", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/fy7g23SQUo";"1615246845457";"1615246858277";"1615246856271";"1615246858273";"{"request": {"params": {"callbackUrl": "localhost:3358/fy7g23SQUo", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/ZaQtX17MKx";"1615246845457";"1615246859966";"1615246857959";"1615246859962";"{"request": {"params": {"callbackUrl": "localhost:3358/ZaQtX17MKx", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/GKWrVhdrqz";"1615246846458";"1615246859973";"1615246857966";"1615246859969";"{"request": {"params": {"callbackUrl": "localhost:3358/GKWrVhdrqz", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/8XLW1Sltl6";"1615246846458";"1615246860297";"1615246858290";"1615246860293";"{"request": {"params": {"callbackUrl": "localhost:3358/8XLW1Sltl6", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/evPUoSMzXX";"1615246846458";"1615246860304";"1615246858297";"1615246860300";"{"request": {"params": {"callbackUrl": "localhost:3358/evPUoSMzXX", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/xmnu2kCLHJ";"1615246847458";"1615246862317";"1615246860312";"1615246862313";"{"request": {"params": {"callbackUrl": "localhost:3358/xmnu2kCLHJ", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/SmUASOKM2w";"1615246847458";"1615246862004";"1615246859998";"1615246862000";"{"request": {"params": {"callbackUrl": "localhost:3358/SmUASOKM2w", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/OWUNyr9d1U";"1615246847458";"1615246861997";"1615246859990";"1615246861993";"{"request": {"params": {"callbackUrl": "localhost:3358/OWUNyr9d1U", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/FaugATu0fk";"1615246848459";"1615246864035";"1615246862029";"1615246864030";"{"request": {"params": {"callbackUrl": "localhost:3358/FaugATu0fk", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/82xj5kEAX8";"1615246848459";"1615246864028";"1615246862022";"1615246864023";"{"request": {"params": {"callbackUrl": "localhost:3358/82xj5kEAX8", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/k0lsp1Yo5m";"1615246848459";"1615246862323";"1615246860317";"1615246862320";"{"request": {"params": {"callbackUrl": "localhost:3358/k0lsp1Yo5m", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/uPWL0tpjAJ";"1615246849459";"1615246864343";"1615246862337";"1615246864339";"{"request": {"params": {"callbackUrl": "localhost:3358/uPWL0tpjAJ", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/3UEtUWG5MN";"1615246849459";"1615246866057";"1615246864052";"1615246866053";"{"request": {"params": {"callbackUrl": "localhost:3358/3UEtUWG5MN", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/EL8uxvI18H";"1615246849459";"1615246864338";"1615246862330";"1615246864333";"{"request": {"params": {"callbackUrl": "localhost:3358/EL8uxvI18H", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/crfIJjgkmZ";"1615246850458";"1615246866357";"1615246864350";"1615246866353";"{"request": {"params": {"callbackUrl": "localhost:3358/crfIJjgkmZ", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/0jxTT7YRaD";"1615246850458";"1615246866065";"1615246864060";"1615246866061";"{"request": {"params": {"callbackUrl": "localhost:3358/0jxTT7YRaD", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/hXzYqdijQs";"1615246850458";"1615246866363";"1615246864357";"1615246866360";"{"request": {"params": {"callbackUrl": "localhost:3358/hXzYqdijQs", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/qpysFKVRAr";"1615246851459";"1615246868375";"1615246866369";"1615246868372";"{"request": {"params": {"callbackUrl": "localhost:3358/qpysFKVRAr", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14836}"
"helloWorld";"wl-1";"payload";"localhost:3358/sb52ZSAp0t";"1615246851459";"1615246868087";"1615246866081";"1615246868083";"{"request": {"params": {"callbackUrl": "localhost:3358/sb52ZSAp0t", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/8gWhEH7Qdk";"1615246852459";"1615246870104";"1615246868098";"1615246870100";"{"request": {"params": {"callbackUrl": "localhost:3358/8gWhEH7Qdk", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
"helloWorld";"wl-1";"payload";"localhost:3358/457nzfABb2";"1615246852459";"1615246870109";"1615246868105";"1615246870106";"{"request": {"params": {"callbackUrl": "localhost:3358/457nzfABb2", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/KR7T47BwBL";"1615246852459";"1615246868380";"1615246866375";"1615246868376";"{"request": {"params": {"callbackUrl": "localhost:3358/KR7T47BwBL", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/VZRMldoye6";"1615246853460";"1615246870402";"1615246868395";"1615246870398";"{"request": {"params": {"callbackUrl": "localhost:3358/VZRMldoye6", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14832}"
"helloWorld";"wl-1";"payload";"localhost:3358/rSvAjDmNOi";"1615246853460";"1615246871307";"1615246868714";"1615246871303";"{"request": {"params": {"callbackUrl": "localhost:3358/rSvAjDmNOi", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14846}"
"helloWorld";"wl-1";"payload";"localhost:3358/hiJNLdFZ3z";"1615246854460";"1615246872141";"1615246870135";"1615246872136";"{"request": {"params": {"callbackUrl": "localhost:3358/hiJNLdFZ3z", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14802}"
"helloWorld";"wl-1";"payload";"localhost:3358/o3C11iXD2e";"1615246854460";"1615246872135";"1615246870128";"1615246872131";"{"request": {"params": {"callbackUrl": "localhost:3358/o3C11iXD2e", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14805}"
