runtime;staticParam;volatileParam;callbackUrl;start;end;start_computation;end_computation;result
"helloWorld";"wl-1";"payload";"localhost:3358/Z0Hl5mGa20";"1615246564723";"1615246581246";"1615246578196";"1615246580917";"{"request": {"params": {"callbackUrl": "localhost:3358/Z0Hl5mGa20", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14327}"
"helloWorld";"wl-1";"payload";"localhost:3358/KEvpObvqzU";"1615246565716";"1615246581244";"1615246578215";"1615246580917";"{"request": {"params": {"callbackUrl": "localhost:3358/KEvpObvqzU", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14330}"
"helloWorld";"wl-1";"payload";"localhost:3358/HewDVYNU1p";"1615246566716";"1615246583279";"1615246581269";"1615246583272";"{"request": {"params": {"callbackUrl": "localhost:3358/HewDVYNU1p", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14327}"
"helloWorld";"wl-1";"payload";"localhost:3358/vbe4DgcFJ5";"1615246567716";"1615246583282";"1615246581276";"1615246583276";"{"request": {"params": {"callbackUrl": "localhost:3358/vbe4DgcFJ5", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14330}"
"helloWorld";"wl-1";"payload";"localhost:3358/mfW5nS8Pjv";"1615246568716";"1615246585302";"1615246583293";"1615246585296";"{"request": {"params": {"callbackUrl": "localhost:3358/mfW5nS8Pjv", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14327}"
"helloWorld";"wl-1";"payload";"localhost:3358/jrQ2W6PoH6";"1615246569717";"1615246585308";"1615246583299";"1615246585302";"{"request": {"params": {"callbackUrl": "localhost:3358/jrQ2W6PoH6", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14330}"
"helloWorld";"wl-1";"payload";"localhost:3358/FwiIxIXa9M";"1615246570717";"1615246587326";"1615246585318";"1615246587320";"{"request": {"params": {"callbackUrl": "localhost:3358/FwiIxIXa9M", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14327}"
"helloWorld";"wl-1";"payload";"localhost:3358/mljGs9OO1j";"1615246571716";"1615246587332";"1615246585325";"1615246587326";"{"request": {"params": {"callbackUrl": "localhost:3358/mljGs9OO1j", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14330}"
"helloWorld";"wl-1";"payload";"localhost:3358/NwxSGNxpUj";"1615246572716";"1615246589358";"1615246587351";"1615246589353";"{"request": {"params": {"callbackUrl": "localhost:3358/NwxSGNxpUj", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14327}"
"helloWorld";"wl-1";"payload";"localhost:3358/iqOXca1GDk";"1615246573716";"1615246589371";"1615246587358";"1615246589360";"{"request": {"params": {"callbackUrl": "localhost:3358/iqOXca1GDk", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-2", "amount": "20", "pid": 14330}"
"helloWorld";"wl-1";"payload";"localhost:3358/jF4eRSl6NN";"1615246574717";"1615246591394";"1615246589385";"1615246591389";"{"request": {"params": {"callbackUrl": "localhost:3358/jF4eRSl6NN", "payload": "payload"}, "runtime": "helloWorld", "workload": "wl-1"}, "accelerator": "gpu-1", "amount": "20", "pid": 14327}"
